城市,站点,经度,纬度
三亚,河东子站,109.510147,18.260119
三亚,河西子站,109.500782,18.274032
三门峡,二  印,111.196818,34.792773
三门峡,市政府,111.206832,34.778439
三门峡,开发区,111.170195,34.770274
三门峡,风景区,111.216067,34.800036
上海,十五厂,121.3616403,31.22335543
上海,徐汇上师大,121.4232281,31.16751076
上海,普陀,121.4035292,31.2551031
上海,杨浦四漂,121.545155,31.270836
上海,浦东川沙,121.7000913,31.19770319
上海,浦东张江,121.6210952,31.21125174
上海,浦东新区监测站,121.5449485,31.232701
上海,美国领事馆,121.4540724,31.21508753
上海,虹口,121.5117355,31.27014725
上海,青浦淀山湖,120.938188,31.09268383
上海,静安监测站,121.4362679,31.23046852
东莞,东城石井,113.802418,23.034574
东莞,南城元岭,113.76218,23.031958
东莞,南城西平,113.754877,22.996316
东莞,实验中学,113.793778,23.054589
东莞,莞城二水厂,113.775396,23.03353
东营,市环保局,118.673386,37.438958
东营,广南水库,118.826449,37.380985
东营,耿井村,118.535983,37.435584
东营,西城阳光环保公司,118.495056,37.473806
中山,华柏园,113.388743,22.524578
中山,张溪,113.385172,22.545433
中山,紫马岭,113.417956,22.514746
中山,长江旅游区,113.450308,22.491165
临安,四中,119.70553,30.233965
临安,市政府,119.731282,30.239675
临汾,临钢医院,111.567026,36.08403
临汾,南机场,111.508594,36.044155
临汾,工商学校,112.591371,37.77288
临汾,市委,111.52553,36.093757
临汾,市监测站,111.5263,36.103818
临汾,技工学校,111.497437,36.07886
临沂,新光毛纺厂,118.2916,34.982762
临沂,沂河小区,118.366941,35.055122
临沂,河东保险公司,118.413689,35.090565
临沂,鲁南制药厂,118.306583,35.066069
丹东,元宝山水厂,121.711638,39.045291
丹东,实验小学,124.379689,40.126061
丹东,财专,124.433158,40.163415
丹东,轴承厂,124.153385,39.886308
丽水,余庄前,121.711638,39.045291
丽水,监测站大楼,119.925117,28.453576
丽水,莲都小学,119.941254,28.459944
义乌,北苑,120.068149,29.333019
义乌,江东,120.115146,29.311227
乌鲁木齐,七十四中学,87.429638,43.879254
乌鲁木齐,三十一中学,87.651842,43.839226
乌鲁木齐,收费所,87.587067,43.688244
乌鲁木齐,新疆农科院农场,87.53488,43.894815
乌鲁木齐,监测站,87.572176,43.870364
乌鲁木齐,米东区环保局,87.654289,43.969506
乌鲁木齐,铁路局,87.566507,43.876759
九江,五七二七厂,116.019824,29.666482
九江,十里,115.996552,29.683178
九江,庐山气象台,115.988532,29.572746
九江,水科所,115.907026,29.71361
九江,石化总厂,116.08324,29.754405
九江,综合工业园,115.925324,29.605999
九江,茅山头,115.98093,29.687728
九江,西园,115.995308,29.733049
乳山,乳山市气象局,121.54948,36.935929
乳山,乳山市环保局,121.542016,36.91955
云浮,市监测站,112.049011,22.942704
云浮,新市府,112.051155,22.920869
云浮,牧羊,112.065349,22.959742
佛山,三水云东海,112.879178,23.212772
佛山,三水监测站,112.895091,23.161787
佛山,华材职中,113.112099,23.045093
佛山,南海气象局,113.148384,23.040556
佛山,容桂街道办,113.265122,22.768272
佛山,湾梁,113.144676,22.997896
